run,level,VLC (minus sign bit),bits
0,1,11,2
0,2,0100,4
0,3,00101,5
0,4,0000110,7
0,5,00100110,8
0,6,00100001,8
0,7,0000001010,10
0,8,000000011101,12
0,9,000000011000,12
0,10,000000010011,12
0,11,000000010000,12
0,12,0000000011010,13
0,13,0000000011001,13
0,14,0000000011000,13
0,15,0000000010111,13
0,16,00000000011111,14
0,17,00000000011110,14
0,18,00000000011101,14
0,19,00000000011100,14
0,20,00000000011011,14
0,21,00000000011010,14
0,22,00000000011001,14
0,23,00000000011000,14
0,24,00000000010111,14
0,25,00000000010110,14
0,26,00000000010101,14
0,27,00000000010100,14
0,28,00000000010011,14
0,29,00000000010010,14
0,30,00000000010001,14
0,31,00000000010000,14
0,32,000000000011000,15
0,33,000000000010111,15
0,34,000000000010110,15
0,35,000000000010101,15
0,36,000000000010100,15
0,37,000000000010011,15
0,38,000000000010010,15
0,39,000000000010001,15
0,40,000000000010000,15
1,1,011,3
1,2,000110,6
1,3,00100101,8
1,4,0000001100,10
1,5,000000011011,12
1,6,0000000010110,13
1,7,0000000010101,13
1,8,000000000011111,15
1,9,000000000011110,15
1,10,000000000011101,15
1,11,000000000011100,15
1,12,000000000011011,15
1,13,000000000011010,15
1,14,000000000011001,15
1,15,0000000000010011,16
1,16,0000000000010010,16
1,17,0000000000010001,16
1,18,0000000000010000,16
2,1,0101,4
2,2,0000100,7
2,3,0000001011,10
2,4,000000010100,12
2,5,0000000010100,13
3,1,00111,5
3,2,00100100,8
3,3,000000011100,12
3,4,0000000010011,13
4,1,00110,5
4,2,0000001111,10
4,3,000000010010,12
5,1,000111,6
5,2,0000001001,10
5,3,0000000010010,13
6,1,000101,6
6,2,000000011110,12
6,3,0000000000010100,16
7,1,000100,6
7,2,000000010101,12
8,1,0000111,7
8,2,000000010001,12
9,1,0000101,7
9,2,0000000010001,13
10,1,00100111,8
10,2,0000000010000,13
11,1,00100011,8
11,2,0000000000011010,16
12,1,00100010,8
12,2,0000000000011001,16
13,1,00100000,8
13,2,0000000000011000,16
14,1,0000001110,10
14,2,0000000000010111,16
15,1,0000001101,10
15,2,0000000000010110,16
16,1,0000001000,10
16,2,0000000000010101,16
17,1,000000011111,12
18,1,000000011010,12
19,1,000000011001,12
20,1,000000010111,12
21,1,000000010110,12
22,1,0000000011111,13
23,1,0000000011110,13
24,1,0000000011101,13
25,1,0000000011100,13
26,1,0000000011011,13
27,1,0000000000011111,16
28,1,0000000000011110,16
29,1,0000000000011101,16
30,1,0000000000011100,16
31,1,0000000000011011,16
